OTU,Domain,Phylum,Class,Order,Family,Genus
DENOVO1,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
DENOVO2,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Candidatus Bacilloplasma
DENOVO3,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Candidatus Bacilloplasma
DENOVO4,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas
DENOVO5,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium
DENOVO6,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
DENOVO7,Bacteria,Tenericutes,Mollicutes,Entomoplasmatales,Entomoplasmatales Incertae Sedis,Candidatus Hepatoplasma
DENOVO8,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium
DENOVO9,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Hypnocyclicus
DENOVO10,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Spongiimonas
DENOVO11,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Citrobacter
DENOVO12,Bacteria,Tenericutes,Mollicutes,Entomoplasmatales,Entomoplasmatales Incertae Sedis,Candidatus Hepatoplasma
DENOVO13,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Candidatus Bacilloplasma
DENOVO14,Bacteria,Tenericutes,Mollicutes,Entomoplasmatales,Entomoplasmatales Incertae Sedis,Candidatus Hepatoplasma
DENOVO15,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
DENOVO16,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Candidatus Bacilloplasma
DENOVO17,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
DENOVO18,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinilabiliaceae,Carboxylicivirga
DENOVO19,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Citrus maxima,Citrus maxima
DENOVO20,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,ZOR0006
DENOVO21,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
DENOVO22,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,
DENOVO23,Bacteria,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter
DENOVO24,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,uncultured,Cherax quadricarinatus
DENOVO25,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Serratia
DENOVO26,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
DENOVO27,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas
DENOVO28,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,
DENOVO29,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
DENOVO30,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Dysgonomonas
DENOVO31,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
DENOVO32,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
DENOVO33,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Spongiimonas
DENOVO34,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Citrus maxima,Citrus maxima
DENOVO35,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,
DENOVO36,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Ferrimonas
DENOVO37,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prolixibacteraceae,Roseimarinus
DENOVO38,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
DENOVO39,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
DENOVO40,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
DENOVO41,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
DENOVO42,Bacteria,Proteobacteria,Gammaproteobacteria,Thiohalorhabdales,Thiohalorhabdaceae,Granulosicoccus
DENOVO43,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
DENOVO44,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Thalassotalea
DENOVO45,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Candidatus Bacilloplasma
DENOVO46,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,uncultured,Cherax quadricarinatus
DENOVO47,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Thiothrix
DENOVO48,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ruegeria
DENOVO49,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
DENOVO50,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium
DENOVO51,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,uncultured
DENOVO52,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
DENOVO53,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Candidatus Bacilloplasma
DENOVO54,Unclassified,,,,,
DENOVO55,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
DENOVO56,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Candidatus Bacilloplasma
DENOVO57,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
DENOVO58,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
DENOVO59,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Candidatus Bacilloplasma
DENOVO60,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Tyzzerella 3
DENOVO61,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella
DENOVO62,Bacteria,Proteobacteria,Gammaproteobacteria,Francisellales,Francisellaceae,Francisella
DENOVO63,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,uncultured
DENOVO64,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
DENOVO65,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,
DENOVO66,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Candidatus Bacilloplasma
DENOVO67,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Psychrilyobacter
DENOVO68,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Yersinia
DENOVO69,Unclassified,,,,,
DENOVO70,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum
DENOVO71,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Cupriavidus
DENOVO72,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pseudoruegeria
DENOVO73,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Ralstonia
DENOVO74,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,uncultured
DENOVO75,Unclassified,,,,,
DENOVO76,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium
DENOVO77,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,ZOR0006
DENOVO78,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Lutibacter
DENOVO79,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Coprobacillus
DENOVO80,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
DENOVO81,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
DENOVO82,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ambiguous_taxa
DENOVO83,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas
DENOVO84,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,
DENOVO85,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Candidatus Bacilloplasma
DENOVO86,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,Aureispira
DENOVO87,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
DENOVO88,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella
DENOVO89,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,ZOR0006
DENOVO90,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
DENOVO91,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,
DENOVO92,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Psychromonas
DENOVO93,Bacteria,Tenericutes,Mollicutes,Entomoplasmatales,Entomoplasmatales Incertae Sedis,Candidatus Hepatoplasma
DENOVO94,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
DENOVO95,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,uncultured
DENOVO96,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
DENOVO97,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
DENOVO98,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodovibrionales,Kiloniellaceae,Kiloniella
DENOVO99,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
DENOVO100,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
DENOVO101,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas
DENOVO102,Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,uncultured
DENOVO103,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,
DENOVO104,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Ambiguous_taxa
DENOVO105,Unclassified,,,,,
DENOVO106,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter clade CHAB-I-5 lineage
DENOVO107,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ruegeria
DENOVO108,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Cellulomonadaceae,Cellulomonas
DENOVO109,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,uncultured
DENOVO110,Bacteria,RsaHF231,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium
DENOVO111,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,
DENOVO112,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Demequinaceae,
DENOVO113,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
DENOVO114,Unclassified,,,,,
DENOVO115,Unclassified,,,,,
DENOVO116,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Thalassotalea
DENOVO117,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Candidatus Bacilloplasma
DENOVO118,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Weeksellaceae,Cloacibacterium
DENOVO119,Bacteria,Tenericutes,Mollicutes,Entomoplasmatales,Entomoplasmatales Incertae Sedis,Candidatus Hepatoplasma
DENOVO120,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Sediminispirochaeta
DENOVO121,Unclassified,,,,,
DENOVO122,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Candidatus Bacilloplasma
DENOVO123,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,uncultured
DENOVO124,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,uncultured,
DENOVO125,Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,uncultured
DENOVO126,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
DENOVO127,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella
DENOVO128,Bacteria,Cyanobacteria,Oxyphotobacteria,Synechococcales,Cyanobiaceae,Synechococcus CC9902
DENOVO129,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Pseudoteredinibacter
DENOVO130,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
DENOVO131,Unclassified,,,,,
DENOVO132,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
DENOVO133,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Hypnocyclicus
DENOVO134,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas
DENOVO135,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,uncultured
DENOVO136,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactovum
DENOVO137,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,uncultured
DENOVO138,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Hypnocyclicus
DENOVO139,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,ZOR0006
DENOVO140,Bacteria,Verrucomicrobia,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,LD29
DENOVO141,Unclassified,,,,,
DENOVO142,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas
DENOVO143,Bacteria,Tenericutes,Mollicutes,Entomoplasmatales,Entomoplasmatales Incertae Sedis,Candidatus Hepatoplasma
DENOVO144,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Candidatus Bacilloplasma
DENOVO145,Bacteria,Patescibacteria,Gracilibacteria,JGI 0000069-P22,,
DENOVO146,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella
DENOVO147,Bacteria,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter
DENOVO148,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Motilimonas
DENOVO149,Unclassified,,,,,
DENOVO150,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinifilaceae,uncultured
DENOVO151,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
DENOVO152,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,
DENOVO153,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella
DENOVO154,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
DENOVO155,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Weeksellaceae,Cloacibacterium
DENOVO156,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Candidatus Bacilloplasma
DENOVO157,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium
DENOVO158,Bacteria,RsaHF231,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium
DENOVO159,Unclassified,,,,,
DENOVO160,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotellaceae UCG-001
DENOVO161,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
DENOVO162,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter clade CHAB-I-5 lineage
DENOVO163,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ruegeria
DENOVO164,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Pirellula
DENOVO165,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Haloferula
DENOVO166,Bacteria,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter
DENOVO167,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
DENOVO168,Unclassified,,,,,
DENOVO169,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,,
DENOVO170,Unclassified,,,,,
DENOVO171,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Candidatus Bacilloplasma
DENOVO172,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
DENOVO173,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,uncultured
DENOVO174,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,
DENOVO175,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinilabiliaceae,Carboxylicivirga
DENOVO176,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Tetragenococcus
DENOVO177,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Candidatus Bacilloplasma
DENOVO178,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotellaceae UCG-001
DENOVO179,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,ZOR0006
DENOVO180,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Candidatus Bacilloplasma
DENOVO181,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella
DENOVO182,Bacteria,Planctomycetes,Planctomycetacia,Gemmatales,Gemmataceae,uncultured
DENOVO183,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
DENOVO184,Unclassified,,,,,
DENOVO185,Bacteria,Firmicutes,Clostridia,Clostridiales,Family XII,Fusibacter
DENOVO186,Unclassified,,,,,
DENOVO187,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
DENOVO188,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas
DENOVO189,Bacteria,Verrucomicrobia,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,LD29
DENOVO190,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Dysgonomonas
DENOVO191,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella
DENOVO192,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
DENOVO193,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,uncultured bacterium,uncultured bacterium
DENOVO194,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius
DENOVO195,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Candidatus Bacilloplasma
DENOVO196,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Candidatus Bacilloplasma
DENOVO197,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Candidatus Bacilloplasma
DENOVO198,Bacteria,Tenericutes,Mollicutes,Entomoplasmatales,Entomoplasmatales Incertae Sedis,Candidatus Hepatoplasma
DENOVO199,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,ZOR0006
DENOVO200,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Haloferula
DENOVO201,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,ZOR0006
DENOVO202,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas
DENOVO203,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
DENOVO204,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Motilimonas
DENOVO205,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,uncultured
DENOVO206,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus
DENOVO207,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
DENOVO208,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium
DENOVO209,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Nannocystaceae,uncultured bacterium
DENOVO210,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
DENOVO211,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,uncultured
DENOVO212,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotellaceae UCG-001
DENOVO213,Unclassified,,,,,
DENOVO214,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Lutimonas
DENOVO215,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
DENOVO216,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta 2
DENOVO217,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
DENOVO218,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,
DENOVO219,Unclassified,,,,,
DENOVO220,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Thalassotalea
DENOVO221,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Nitrincolaceae,Neptuniibacter
DENOVO222,Bacteria,Tenericutes,Mollicutes,Entomoplasmatales,Entomoplasmatales Incertae Sedis,Candidatus Hepatoplasma
DENOVO223,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
DENOVO224,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,uncultured
DENOVO225,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,
DENOVO226,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
DENOVO227,Unclassified,,,,,
DENOVO228,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
DENOVO229,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Ambiguous_taxa,Ambiguous_taxa
DENOVO230,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Propionigenium
DENOVO231,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Haloferula
DENOVO232,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
DENOVO233,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Haloferula
DENOVO234,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Motilimonas
DENOVO235,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
DENOVO236,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pseudophaeobacter
DENOVO237,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Cohaesibacter
DENOVO238,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,,
DENOVO239,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus
DENOVO240,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ambiguous_taxa
DENOVO241,Unclassified,,,,,
DENOVO242,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Blastopirellula
DENOVO243,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,uncultured bacterium,uncultured bacterium
DENOVO244,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,uncultured
DENOVO245,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Haloferula
DENOVO246,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,uncultured
DENOVO247,Unclassified,,,,,
DENOVO248,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
DENOVO249,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
DENOVO250,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,uncultured
DENOVO251,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,uncultured
DENOVO252,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,[Anaerorhabdus] furcosa group
DENOVO253,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Serratia
DENOVO254,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,
DENOVO255,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Candidatus Bacilloplasma
DENOVO256,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Nautella
DENOVO257,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,uncultured
DENOVO258,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,uncultured bacterium,uncultured bacterium
DENOVO259,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,,
